time/days,B.S concentration/(g/L),nostoc concentration
16.1444444444444,0.145842928461481,1.35883907257722
16.1451388888889,0.145828768679114,1.35891633191888
16.1458333333333,0.14581460738175,1.3589935917262
16.1465277777778,0.145800444569425,1.35907085199872
16.1472222222222,0.145786280242176,1.35914811273601
16.1479166666667,0.145772114400041,1.35922537393762
16.1486111111111,0.145757947043057,1.35930263560311
16.1493055555556,0.14574377817126,1.35937989773204
16.15,0.145729607784687,1.35945716032395
16.1506944444444,0.145715435883376,1.35953442337841
16.1513888888889,0.145701262467363,1.35961168689496
16.1520833333333,0.145687087536686,1.35968895087317
16.1527777777778,0.145672911091382,1.35976621531259
16.1534722222222,0.145658733131487,1.35984348021277
16.1541666666667,0.145644553657039,1.35992074557328
16.1548611111111,0.145630372668076,1.35999801139366
16.1555555555556,0.145616190164634,1.36007527767347
16.15625,0.14560200614675,1.36015254441227
16.1569444444444,0.145587820614462,1.36022981160961
16.1576388888889,0.145573633567807,1.36030707926504
16.1583333333333,0.145559445006822,1.36038434737813
16.1590277777778,0.145545254931544,1.36046161594842
16.1597222222222,0.14553106334201,1.36053888497548
16.1604166666667,0.145516870238259,1.36061615445885
16.1611111111111,0.145502675620327,1.36069342439809
16.1618055555556,0.145488479488251,1.36077069479276
16.1625,0.145474281842069,1.36084796564241
16.1631944444444,0.145460082681818,1.3609252369466
16.1638888888889,0.145445882007535,1.36100250870487
16.1645833333333,0.145431679819259,1.36107978091679
16.1652777777778,0.145417476117025,1.36115705358192
16.1659722222222,0.145403270900873,1.36123432669979
16.1666666666667,0.145389064170838,1.36131160026998
16.1673611111111,0.145374855926959,1.36138887429203
16.1680555555556,0.145360646169273,1.3614661487655
16.16875,0.145346434897818,1.36154342368995
16.1694444444444,0.14533222211263,1.36162069906492
16.1701388888889,0.145318007813748,1.36169797488998
16.1708333333333,0.145303792001209,1.36177525116467
16.1715277777778,0.145289574675051,1.36185252788856
16.1722222222222,0.14527535583531,1.36192980506119
16.1729166666667,0.145261135482026,1.36200708268212
16.1736111111111,0.145246913615234,1.36208436075091
16.1743055555556,0.145232690234974,1.3621616392671
16.175,0.145218465341282,1.36223891823027
16.1756944444444,0.145204238934196,1.36231619763994
16.1763888888889,0.145190011013754,1.3623934774957
16.1770833333333,0.145175781579994,1.36247075779707
16.1777777777778,0.145161550632953,1.36254803854363
16.1784722222222,0.145147318172668,1.36262531973493
16.1791666666667,0.145133084199179,1.36270260137051
16.1798611111111,0.145118848712522,1.36277988344993
16.1805555555556,0.145104611712734,1.36285716597276
16.18125,0.145090373199855,1.36293444893853
16.1819444444444,0.145076133173922,1.36301173234681
16.1826388888889,0.145061891634972,1.36308901619715
16.1833333333333,0.145047648583044,1.3631663004891
16.1840277777778,0.145033404018174,1.36324358522223
16.1847222222222,0.145019157940402,1.36332087039607
16.1854166666667,0.145004910349765,1.36339815601018
16.1861111111111,0.144990661246301,1.36347544206413
16.1868055555556,0.144976410630047,1.36355272855746
16.1875,0.144962158501042,1.36363001548972
16.1881944444444,0.144947904859324,1.36370730286048
16.1888888888889,0.14493364970493,1.36378458354937
16.1895833333333,0.14491939305414,1.36386184760045
16.1902777777778,0.144905134945865,1.36393909502449
16.1909722222222,0.144890875418803,1.36401632583224
16.1916666666667,0.144876614511441,1.36409354003441
16.1923611111111,0.144862352262054,1.36417073764168
16.1930555555556,0.14484808870871,1.36424791866471
16.19375,0.144833823889267,1.36432508311411
16.1944444444444,0.144819557841375,1.36440223100049
16.1951388888889,0.14480529060248,1.36447936233439
16.1958333333333,0.144791022209823,1.36455647712635
16.1965277777778,0.144776752700438,1.36463357538686
16.1972222222222,0.144762482111159,1.3647106571264
16.1979166666667,0.144748210478618,1.36478772235539
16.1986111111111,0.144733937839244,1.36486477108426
16.1993055555556,0.144719664229269,1.36494180332337
16.2,0.144705389684724,1.36501881908308
16.2006944444444,0.144691114241445,1.36509581837371
16.2013888888889,0.144676837935067,1.36517280120554
16.2020833333333,0.144662560801035,1.36524976758884
16.2027777777778,0.144648282874594,1.36532671753383
16.2034722222222,0.1446340041908,1.36540365105072
16.2041666666667,0.144619724784514,1.36548056814968
16.2048611111111,0.144605444690406,1.36555746884086
16.2055555555556,0.144591163942954,1.36563435313438
16.20625,0.14457688257645,1.36571122104032
16.2069444444444,0.144562600624994,1.36578807256874
16.2076388888889,0.1445483181225,1.36586490772967
16.2083333333333,0.144534035102696,1.36594172653312
16.2090277777778,0.144519751599123,1.36601852898907
16.2097222222222,0.144505467645137,1.36609531510746
16.2104166666667,0.144491183273913,1.36617208489821
16.2111111111111,0.144476898518441,1.36624883837122
16.2118055555556,0.14446261341153,1.36632557553636
16.2125,0.144448327985808,1.36640229640345
16.2131944444444,0.144434042273724,1.36647900098233
16.2138888888889,0.144419756307546,1.36655568928276
16.2145833333333,0.144405470119367,1.36663236131451
16.2152777777778,0.1443911837411,1.36670901708731
16.2159722222222,0.144376897204484,1.36678565661088
16.2166666666667,0.144362610541082,1.36686227989487
16.2173611111111,0.144348323782284,1.36693888694896
16.2180555555556,0.144334036959303,1.36701547778277
16.21875,0.144319750103185,1.3670920524059
16.2194444444444,0.1443054632448,1.36716861082792
16.2201388888889,0.144291176414848,1.36724515305838
16.2208333333333,0.144276889643862,1.36732167910682
16.2215277777778,0.144262602962204,1.36739818898272
16.2222222222222,0.144248316400067,1.36747468269557
16.2229166666667,0.14423402998748,1.36755116025481
16.2236111111111,0.144219743754303,1.36762762166986
16.2243055555556,0.144205457730232,1.36770406695013
16.225,0.144191171944798,1.36778049610499
16.2256944444444,0.144176886427369,1.36785690914379
16.2263888888889,0.144162601207149,1.36793330607584
16.2270833333333,0.144148316313182,1.36800968691047
16.2277777777778,0.14413403177435,1.36808605165693
16.2284722222222,0.144119747619373,1.36816240032448
16.2291666666667,0.144105463876815,1.36823873292236
16.2298611111111,0.14409118057508,1.36831504945976
16.2305555555556,0.144076897742413,1.36839134994587
16.23125,0.144062615406903,1.36846763438984
16.2319444444444,0.144048333596484,1.36854390280081
16.2326388888889,0.144034052338933,1.36862015518788
16.2333333333333,0.144019771661875,1.36869639156015
16.2340277777778,0.144005491592778,1.36877261192667
16.2347222222222,0.143991212158961,1.36884881629649
16.2354166666667,0.143976933387587,1.36892500467863
16.2361111111111,0.143962655305671,1.36900117708207
16.2368055555556,0.143948377940076,1.3690773335158
16.2375,0.143934101317516,1.36915347398876
16.2381944444444,0.143919825464557,1.36922959850988
16.2388888888889,0.143905550407613,1.36930570708806
16.2395833333333,0.143891276172957,1.36938179973218
16.2402777777778,0.143877002786709,1.36945787645111
16.2409722222222,0.143862730274849,1.36953393725368
16.2416666666667,0.143848458663207,1.36960998214871
16.2423611111111,0.143834187977473,1.369686011145
16.2430555555556,0.143819918243191,1.36976202425131
16.24375,0.143805649485762,1.36983802147639
16.2444444444444,0.143791381730447,1.36991400282899
16.2451388888889,0.143777115002364,1.3699899683178
16.2458333333333,0.143762849326493,1.37006591795151
16.2465277777778,0.14374858472767,1.37014185173878
16.2472222222222,0.143734321230596,1.37021776968827
16.2479166666667,0.143720058859833,1.3702936718086
16.2486111111111,0.143705797639803,1.37036955810836
16.2493055555556,0.143691537594793,1.37044542859614
16.25,0.143677278748955,1.37052128328051
16.2506944444444,0.143663021126303,1.37059712216999
16.2513888888889,0.143648764750719,1.37067294527312
16.2520833333333,0.143634509645948,1.37074875259839
16.2527777777778,0.143620255835605,1.37082454415428
16.2534722222222,0.143606003343169,1.37090031994926
16.2541666666667,0.143591752191991,1.37097607999176
16.2548611111111,0.143577502405287,1.37105182429019
16.2555555555556,0.143563254006145,1.37112755285297
16.25625,0.143549007017523,1.37120326568847
16.2569444444444,0.143534761462247,1.37127896280505
16.2576388888889,0.14352051736302,1.37135464421105
16.2583333333333,0.143506274742411,1.3714303099148
16.2590277777778,0.143492033622866,1.37150595992459
16.2597222222222,0.143477794026704,1.37158159424871
16.2604166666667,0.143463555976118,1.37165721289542
16.2611111111111,0.143449319493174,1.37173281587297
16.2618055555556,0.143435084599816,1.37180840318958
16.2625,0.143420851317862,1.37188397485345
16.2631944444444,0.14340661966901,1.37195953087279
16.2638888888889,0.143392389674833,1.37203507125575
16.2645833333333,0.143378161356782,1.37211059601048
16.2652777777778,0.143363934736188,1.37218610514513
16.2659722222222,0.14334970983426,1.3722615986678
16.2666666666667,0.143335486672089,1.37233707658658
16.2673611111111,0.143321265270645,1.37241253890956
16.2680555555556,0.14330704565078,1.3724879856448
16.26875,0.143292827833228,1.37256341680032
16.2694444444444,0.143278611838605,1.37263883238417
16.2701388888889,0.14326439768741,1.37271423240434
16.2708333333333,0.143250185400026,1.37278961686882
16.2715277777778,0.143235974996722,1.37286498578558
16.2722222222222,0.14322176649765,1.37294033916257
16.2729166666667,0.143207559922847,1.37301567700773
16.2736111111111,0.143193355292239,1.37309099932897
16.2743055555556,0.143179152625636,1.3731663061342
16.275,0.143164951942737,1.37324159743129
16.2756944444444,0.143150753263129,1.37331687322811
16.2763888888889,0.143136556606285,1.37339213353251
16.2770833333333,0.143122361991572,1.37346737835233
16.2777777777778,0.143108169438242,1.37354260769537
16.2784722222222,0.143093978965439,1.37361782156943
16.2791666666667,0.1430797905922,1.37369301998229
16.2798611111111,0.143065604337449,1.37376820294173
16.2805555555556,0.143051420220007,1.37384337045548
16.28125,0.143037238258584,1.37391852253127
16.2819444444444,0.143023058471785,1.37399365917683
16.2826388888889,0.143008880878107,1.37406878039984
16.2833333333333,0.142994705495943,1.37414388620799
16.2840277777778,0.14298053234358,1.37421897660896
16.2847222222222,0.1429663614392,1.37429405161037
16.2854166666667,0.142952192800883,1.37436911121988
16.2861111111111,0.142938026446603,1.3744441554451
16.2868055555556,0.142923862394232,1.37451918429362
16.2875,0.14290970066154,1.37459419777305
16.2881944444444,0.142895541266194,1.37466919589093
16.2888888888889,0.142881384225761,1.37474417865484
16.2895833333333,0.142867229557707,1.37481914607231
16.2902777777778,0.142853077279395,1.37489409815086
16.2909722222222,0.142838927408093,1.37496903489801
16.2916666666667,0.142824779960966,1.37504395632124
16.2923611111111,0.142810634955081,1.37511886242803
16.2930555555556,0.142796492407408,1.37519375322585
16.29375,0.142782352334819,1.37526862872214
16.2944444444444,0.142768214754087,1.37534348892434
16.2951388888889,0.142754079681891,1.37541833383986
16.2958333333333,0.142739947134812,1.37549316347611
16.2965277777778,0.142725817129337,1.37556797784046
16.2972222222222,0.142711689681855,1.37564277694031
16.2979166666667,0.142697564808664,1.375717560783
16.2986111111111,0.142683442525964,1.37579232937588
16.2993055555556,0.142669322849865,1.37586708272628
16.3,0.142655205796382,1.37594182084151
16.3006944444444,0.142641091381437,1.37601654372888
16.3013888888889,0.142626979620861,1.37609125139566
16.3020833333333,0.142612870530392,1.37616594384914
16.3027777777778,0.142598764125678,1.37624062109657
16.3034722222222,0.142584660422275,1.37631528314519
16.3041666666667,0.14257055943565,1.37638993000223
16.3048611111111,0.142556461181179,1.37646456167492
16.3055555555556,0.14254236567415,1.37653917817044
16.30625,0.142528272929761,1.37661377949599
16.3069444444444,0.142514182963123,1.37668836565875
16.3076388888889,0.142500095789258,1.37676293666587
16.3083333333333,0.1424860114231,1.37683749252451
16.3090277777778,0.142471929879497,1.37691203324178
16.3097222222222,0.14245785117321,1.37698655882482
16.3104166666667,0.142443775318915,1.37706106928074
16.3111111111111,0.142429702331202,1.37713556461662
16.3118055555556,0.142415632224574,1.37721004483954
16.3125,0.142401565013451,1.37728450995657
16.3131944444444,0.142387500712168,1.37735895997477
16.3138888888889,0.142373439334978,1.37743339490118
16.3145833333333,0.142359380896048,1.37750781474281
16.3152777777778,0.142345325409464,1.3775822195067
16.3159722222222,0.142331272889227,1.37765660919983
16.3166666666667,0.14231722334926,1.3777309838292
16.3173611111111,0.1423031768034,1.37780534340179
16.3180555555556,0.142289133265405,1.37787968792455
16.31875,0.142275092748953,1.37795401740444
16.3194444444444,0.14226105526764,1.37802833184839
16.3201388888889,0.142247020834982,1.37810263126334
16.3208333333333,0.142232989464416,1.37817691565619
16.3215277777778,0.142218961169302,1.37825118503385
16.3222222222222,0.142204935962917,1.3783254394032
16.3229166666667,0.142190913858462,1.37839967877112
16.3236111111111,0.142176894869062,1.37847390314447
16.3243055555556,0.142162879007762,1.3785481125301
16.325,0.142148866287529,1.37862230693486
16.3256944444444,0.142134856721257,1.37869648636558
16.3263888888889,0.142120850321761,1.37877065082906
16.3270833333333,0.142106847101781,1.37884480033211
16.3277777777778,0.142092847073981,1.37891893488152
16.3284722222222,0.142078850250951,1.37899305448407
16.3291666666667,0.142064856645206,1.37906715914654
16.3298611111111,0.142050866269185,1.37914124887567
16.3305555555556,0.142036879135257,1.37921532367821
16.33125,0.142022895255714,1.3792893835609
16.3319444444444,0.142008914642776,1.37936342853046
16.3326388888889,0.14199493730859,1.37943745859359
16.3333333333333,0.141980963265232,1.37951147375699
16.3340277777778,0.141966992524705,1.37958547402736
16.3347222222222,0.141953025098941,1.37965945941137
16.3354166666667,0.141939060999799,1.37973342991568
16.3361111111111,0.14192510023907,1.37980738554695
16.3368055555556,0.141911142828472,1.37988132631182
16.3375,0.141897188779655,1.37995525221691
16.3381944444444,0.141883238104199,1.38002916326886
16.3388888888889,0.141869290813612,1.38010305947427
16.3395833333333,0.141855346919337,1.38017694083974
16.3402777777778,0.141841406432746,1.38025080737186
16.3409722222222,0.141827469365143,1.38032465907719
16.3416666666667,0.141813535727764,1.38039849596232
16.3423611111111,0.14179960553178,1.38047231803379
16.3430555555556,0.14178567878829,1.38054612529815
16.34375,0.141771755508331,1.38061991776193
16.3444444444444,0.14175783570287,1.38069369543166
16.3451388888889,0.14174391938281,1.38076745831385
16.3458333333333,0.141730006558987,1.380841206415
16.3465277777778,0.141716097242174,1.3809149397416
16.3472222222222,0.141702191443075,1.38098865830013
16.3479166666667,0.141688289172332,1.38106236209707
16.3486111111111,0.141674390440522,1.38113605113888
16.3493055555556,0.141660495258159,1.381209725432
16.35,0.141646603635691,1.38128338498289
16.3506944444444,0.141632715583504,1.38135702979796
16.3513888888889,0.141618831111921,1.38143065988364
16.3520833333333,0.141604950231202,1.38150427524633
16.3527777777778,0.141591072951545,1.38157787589245
16.3534722222222,0.141577199283086,1.38165146182838
16.3541666666667,0.141563329235898,1.38172503306049
16.3548611111111,0.141549462819994,1.38179858959517
16.3555555555556,0.141535600045326,1.38187213143877
16.35625,0.141521740921784,1.38194565859764
16.3569444444444,0.141507885459198,1.38201917107813
16.3576388888889,0.14149403366734,1.38209266888656
16.3583333333333,0.141480185555919,1.38216615202926
16.3590277777778,0.141466341134585,1.38223962051255
16.3597222222222,0.141452500412932,1.38231307434271
16.3604166666667,0.141438663400492,1.38238651352606
16.3611111111111,0.141424830106738,1.38245993806887
16.3618055555556,0.141411000541088,1.38253334797741
