time/days,f_i of nostoc,C,N,P
28.8888888888889,0.142311522431654,0.999382513934536,0.142314583378735,0.466797196157179
28.8895833333333,0.142311523907619,0.99938253139962,0.142314584858957,0.466795668006365
28.8902777777778,0.142311525382942,0.999382548863324,0.142314586338536,0.466794139870767
28.8909722222222,0.142311526857624,0.999382566325645,0.142314587817472,0.466792611750387
28.8916666666667,0.142311528331665,0.999382583786587,0.142314589295765,0.466791083645232
28.8923611111111,0.142311529805066,0.999382601246147,0.142314590773417,0.466789555555303
28.8930555555556,0.142311531277827,0.999382618704326,0.142314592250426,0.466788027480605
28.89375,0.142311532749949,0.999382636161125,0.142314593726794,0.466786499421141
28.8944444444444,0.14231153422143,0.999382653616544,0.14231459520252,0.466784971376916
28.8951388888889,0.142311535692273,0.999382671070583,0.142314596677606,0.466783443347932
28.8958333333333,0.142311537162476,0.999382688523242,0.14231459815205,0.466781915334195
28.8965277777778,0.142311538632041,0.99938270597452,0.142314599625854,0.466780387335707
28.8972222222222,0.142311540100968,0.999382723424419,0.142314601099018,0.466778859352472
28.8979166666667,0.142311541569256,0.999382740872939,0.142314602571542,0.466777331384495
28.8986111111111,0.142311543036907,0.999382758320079,0.142314604043426,0.466775803431778
28.8993055555556,0.14231154450392,0.99938277576584,0.142314605514671,0.466774275494326
28.9,0.142311545970295,0.999382793210222,0.142314606985277,0.466772747572143
28.9006944444444,0.142311547436034,0.999382810653226,0.142314608455244,0.466771219665231
28.9013888888889,0.142311548901136,0.99938282809485,0.142314609924572,0.466769691773596
28.9020833333333,0.142311550365601,0.999382845535096,0.142314611393262,0.46676816389724
28.9027777777778,0.142311551829431,0.999382862973964,0.142314612861314,0.466766636036168
28.9034722222222,0.142311553292624,0.999382880411454,0.142314614328728,0.466765108190382
28.9041666666667,0.142311554755181,0.999382897847565,0.142314615795504,0.466763580359888
28.9048611111111,0.142311556217104,0.999382915282299,0.142314617261644,0.466762052544689
28.9055555555556,0.142311557678391,0.999382932715655,0.142314618727146,0.466760524744788
28.90625,0.142311559139044,0.999382950147633,0.142314620192012,0.466758996960189
28.9069444444444,0.142311560599061,0.999382967578234,0.142314621656242,0.466757469190895
28.9076388888889,0.142311562058445,0.999382985007458,0.142314623119835,0.466755941436912
28.9083333333333,0.142311563517195,0.999383002435305,0.142314624582793,0.466754413698242
28.9090277777778,0.142311564975311,0.999383019861775,0.142314626045115,0.466752885974889
28.9097222222222,0.142311566432793,0.999383037286869,0.142314627506802,0.466751358266857
28.9104166666667,0.142311567889643,0.999383054710586,0.142314628967854,0.46674983057415
28.9111111111111,0.142311569345859,0.999383072132926,0.142314630428271,0.46674830289677
28.9118055555556,0.142311570801443,0.99938308955389,0.142314631888054,0.466746775234723
28.9125,0.142311572256395,0.999383106973479,0.142314633347202,0.466745247588012
28.9131944444444,0.142311573710714,0.999383124391691,0.142314634805717,0.46674371995664
28.9138888888889,0.142311575164402,0.999383141808528,0.142314636263598,0.466742192340612
28.9145833333333,0.142311576617458,0.999383159223989,0.142314637720846,0.46674066473993
28.9152777777778,0.142311578069883,0.999383176638075,0.142314639177461,0.466739137154599
28.9159722222222,0.142311579521677,0.999383194050785,0.142314640633443,0.466737609584623
28.9166666666667,0.14231158097284,0.999383211462121,0.142314642088792,0.466736082030004
28.9173611111111,0.142311582423373,0.999383228872081,0.142314643543509,0.466734554490748
28.9180555555556,0.142311583873276,0.999383246280667,0.142314644997595,0.466733026966857
28.91875,0.142311585322549,0.999383263687879,0.142314646451048,0.466731499458335
28.9194444444444,0.142311586771192,0.999383281093716,0.14231464790387,0.466729971965187
28.9201388888889,0.142311588219206,0.999383298498179,0.142314649356061,0.466728444487415
28.9208333333333,0.142311589666591,0.999383315901267,0.142314650807622,0.466726917025023
28.9215277777778,0.142311591113348,0.999383333302982,0.142314652258551,0.466725389578016
28.9222222222222,0.142311592559475,0.999383350703323,0.14231465370885,0.466723862146396
28.9229166666667,0.142311594004975,0.999383368102291,0.14231465515852,0.466722334730168
28.9236111111111,0.142311595449846,0.999383385499885,0.142314656607559,0.466720807329335
28.9243055555556,0.14231159689409,0.999383402896105,0.142314658055969,0.466719279943901
28.925,0.142311598337707,0.999383420290954,0.14231465950375,0.466717752573869
28.9256944444444,0.142311599780696,0.999383437684428,0.142314660950902,0.466716225219244
